Business,Total_Quantity,Transaction_Frequency,Total_Value,Segment,Segment_Label
Business-91b3,114,89,158528.0,0,Low Value
Business-91b5,147,52,125892.0,0,Low Value
Business-91b6,7,2,6810.0,0,Low Value
Business-9226,166,83,179011.0,0,Low Value
Business-922b,20,1,1760.0,0,Low Value
Business-9239,1162,529,1320325.0,1,Medium Value
Business-9246,2,2,5860.0,0,Low Value
Business-924d,12,12,15605.0,0,Low Value
Business-9256,27,6,10490.0,0,Low Value
Business-9258,4,2,875.0,0,Low Value
Business-925d,314,137,239791.0,0,Low Value
Business-926b,1092,591,1447406.0,1,Medium Value
Business-9274,1,1,1510.0,0,Low Value
Business-9279,6,3,9570.0,0,Low Value
Business-9280,110,97,217743.0,0,Low Value
Business-928a,4,2,5665.0,0,Low Value
Business-929c,9,4,12800.0,0,Low Value
Business-92a9,15,10,25390.0,0,Low Value
Business-92b5,14,14,30235.0,0,Low Value
Business-92b6,10,3,9425.0,0,Low Value
Business-92eb,163,83,158785.0,0,Low Value
Business-92ec,10,9,32024.0,0,Low Value
Business-92ed,129,126,184680.0,0,Low Value
Business-930d,123,74,128747.0,0,Low Value
Business-9317,100,61,135160.0,0,Low Value
Business-9338,7,7,14118.0,0,Low Value
Business-9343,206,179,300543.0,0,Low Value
Business-9354,4,4,5750.0,0,Low Value
Business-9370,44,44,85385.0,0,Low Value
Business-937b,20,11,23235.0,0,Low Value
Business-9383,19,4,10931.0,0,Low Value
Business-9392,30,26,40050.0,0,Low Value
Business-93a0,1,1,7000.0,0,Low Value
Business-93a5,11,10,12260.0,0,Low Value
Business-93a6,6,6,17010.0,0,Low Value
Business-93e2,80,60,115500.0,0,Low Value
Business-93eb,425,210,418715.0,0,Low Value
Business-93f4,2,2,3440.0,0,Low Value
Business-93f6,105,85,128275.0,0,Low Value
Business-9412,17,16,20060.0,0,Low Value
Business-9452,80,58,168300.0,0,Low Value
Business-946e,35,27,62546.0,0,Low Value
Business-949f,171,126,338325.0,0,Low Value
Business-94a2,265,72,157270.0,0,Low Value
Business-94de,12,5,8620.0,0,Low Value
Business-94e3,24,11,20135.0,0,Low Value
Business-94f3,209,76,167701.0,0,Low Value
Business-94f5,52,37,56460.0,0,Low Value
Business-9510,10,10,23445.0,0,Low Value
Business-9511,6,6,19275.0,0,Low Value
Business-9512,1,1,2360.0,0,Low Value
Business-951e,46,18,30715.0,0,Low Value
Business-9528,20,8,35425.0,0,Low Value
Business-952a,121,38,104812.0,0,Low Value
Business-9540,1496,914,1633957.0,2,High Value
Business-9547,1,1,3550.0,0,Low Value
Business-959b,2,2,5840.0,0,Low Value
Business-95a5,1249,82,207380.0,0,Low Value
Business-95ab,9,9,11320.0,0,Low Value
Business-95b1,70,50,170699.0,0,Low Value
Business-95c5,28,28,58640.0,0,Low Value
Business-95c9,12,11,19425.0,0,Low Value
Business-95d4,21,19,62650.0,0,Low Value
Business-95db,79,52,198535.0,0,Low Value
Business-9614,2,2,4250.0,0,Low Value
Business-962a,1,1,5680.0,0,Low Value
Business-9632,310,40,64075.0,0,Low Value
Business-964a,3,2,1945.0,0,Low Value
Business-9657,2106,510,1345244.0,1,Medium Value
Business-965c,1281,268,726018.0,1,Medium Value
